date,hour,air_temp_1m,air_temp_5m
5/17/22,2400,,-7.159
5/18/22,100,,-7.633
5/18/22,200,,-9.31
5/18/22,300,,-10
5/18/22,400,,-10.57
5/18/22,500,,-10.38
5/18/22,600,,-8.89
5/18/22,700,,-7.584
5/18/22,800,,-3.117
5/18/22,900,,-1.113
5/18/22,1000,,-0.513
5/18/22,1100,,0.52
5/18/22,1200,,1.254
5/18/22,1300,,1.702
5/18/22,1400,,2.238
5/18/22,1500,,2.794
5/18/22,1600,,3.089
5/18/22,1700,,3.74
5/18/22,1800,,4.195
5/18/22,1900,,4.484
5/18/22,2000,,4.246
5/18/22,2100,,2.643
5/18/22,2200,,2.3
5/18/22,2300,,-1.256
5/18/22,2400,,-3.073
5/19/22,100,,-2.986
5/19/22,200,,-2.402
5/19/22,300,,-2.532
5/19/22,400,,-1.805
5/19/22,500,,-0.585
5/19/22,600,,0.975
5/19/22,700,,2.736
5/19/22,800,,2.414
5/19/22,900,,2.204
5/19/22,1000,,2.372
5/19/22,1100,,2.368
5/19/22,1200,,2.931
5/19/22,1300,,3.201
5/19/22,1400,,4.499
5/19/22,1500,,5.706
5/19/22,1600,,5.827
5/19/22,1700,,5.548
5/19/22,1800,,6.239
5/19/22,1900,,4.063
5/19/22,2000,,3.533
5/19/22,2100,,4.202
5/19/22,2200,,3.5
5/19/22,2300,,2.317
5/19/22,2400,,0.701
5/20/22,100,,0.575
5/20/22,200,,1.234
5/20/22,300,,1.526
5/20/22,400,,0.7
5/20/22,500,,-0.261
5/20/22,600,,2.105
5/20/22,700,,4.066
5/20/22,800,,5.39
5/20/22,900,,5.317
5/20/22,1000,,5.181
5/20/22,1100,,4.863
5/20/22,1200,,3.156
5/20/22,1300,,2.69
5/20/22,1400,,2.273
5/20/22,1500,,1.875
5/20/22,1600,,1.993
5/20/22,1700,,2.003
5/20/22,1800,,1.533
5/20/22,1900,,2.003
5/20/22,2000,,2.164
5/20/22,2100,,2.146
5/20/22,2200,,0.593
5/20/22,2300,,-0.571
5/20/22,2400,,-2.393
5/21/22,100,,-4.135
5/21/22,200,,-4.51
5/21/22,300,,-4.902
5/21/22,400,,-4.641
5/21/22,500,,-4.083
5/21/22,600,,-3.037
5/21/22,700,,-1.15
5/21/22,800,,-0.313
5/21/22,900,,-0.139
5/21/22,1000,,-0.366
5/21/22,1100,,-0.286
5/21/22,1200,,-0.159
5/21/22,1300,,-0.225
5/21/22,1400,,0.146
5/21/22,1500,,0.34
5/21/22,1600,,0.243
5/21/22,1700,,0.002
5/21/22,1800,,-0.672
5/21/22,1900,,-1.59
5/21/22,2000,,-1.012
5/21/22,2100,,-1.45
5/21/22,2200,,-3.175
5/21/22,2300,,-4.049
5/21/22,2400,,-4.498
5/22/22,100,,-5.47
5/22/22,200,,-5.758
5/22/22,300,,-5.386
5/22/22,400,,-5.04
5/22/22,500,,-4.477
5/22/22,600,,-4.525
5/22/22,700,,-4.685
5/22/22,800,,-4.104
5/22/22,900,,-3.491
5/22/22,1000,,-2.998
5/22/22,1100,,-2.517
5/22/22,1200,,-2.489
5/22/22,1300,,-3.203
5/22/22,1400,,-3.033
5/22/22,1500,,-2.95
5/22/22,1600,,-3.138
5/22/22,1700,,-3.285
5/22/22,1800,,-3.885
5/22/22,1900,,-3.888
5/22/22,2000,,-4.014
5/22/22,2100,,-4.391
5/22/22,2200,,-3.901
5/22/22,2300,,-4.915
5/22/22,2400,,-6.278
5/23/22,100,,-7.546
